TITULO,ALBUM,ARTISTA,ISRC,SELLO,TITULAR DERECHO,PERÍODO,AÑO DE PUBLICACIÓN,ENVIO A MONITOREO,CAPIF
Una Noche de Terror,Una Noche de Terror,Juli Savioli,ARDL12500014,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
BLIN,BLIN,"Biei Postiglioni, Croniko",ARDL12500015,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Cuatro y Pico,Cuatro y Pico,"PACOREMIX, TOTI, Alan SSLK featuring LAALO DJ",ARDL12500013,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
UNCIÓN EN EL AIRE,UNCIÓN EN EL AIRE,Natalia Soledad feat. David Ezequiel,ARDL12500010,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Garota,Garota,"TOTI, Coco Palmer",ARDL12500009,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Tus Cuerdas de Amor,Tus Cuerdas de Amor,A Precio de Sangre featuring Sebastian Mendoza,ARDL12500006,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Decile a las Demás,Decile a las Demás,Luli Barrios,ARDL12500004,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
ATREVIDA,ATREVIDA,"FACUU DJ, Kaleb Di Masi",ARDL12500005,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Factos,Factos,FederiKita,ARDL12500003,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
LAVAGIRL,LAVAGIRL,Baby Cue,ARDL12500008,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Romántico,Romántico,"Coco Palmer, Joaquin Da Rosa",ARDL12500002,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
PA LA PLAYA,PA LA PLAYA,"Panky Desalineado and Nikillo Yb featuring Alan SSLK, ManuVe, Dr Moceton and PACOREMIX",ARDL12500001,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
It's Beginning to Look a Lot Like Christmas,Navidad,DINA,ARDL12400116,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Holly Jolly Christmas,Navidad,DINA,ARDL12400117,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Underneath the Tree,Navidad,DINA,ARDL12400118,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Snowman,Navidad,DINA,ARDL12400119,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Let it Snow,Navidad,DINA,ARDL12400120,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Sleigh Ride,Navidad,DINA,ARDL12400121,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Feliz Navidad,Navidad,DINA,ARDL12400122,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Jingle Bell Rock,Navidad,DINA,ARDL12400123,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Rocking Around the Christmas Tree,Navidad,DINA,ARDL12400124,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
All I Want for Christmas Is You,Navidad,DINA,ARDL12400125,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Last Christmas,Navidad,DINA,ARDL12400126,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
No Puedo Vivir Sin Ti,No Puedo Vivir Sin Ti,A Precio de Sangre featuring Puerto Seguro,ARDL12400115,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Como Yo,Como Yo,Simo Viani,ARDL12400114,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Santa Fe,Santa Fe,"M Aqui Adonai, Viru Kumbieron",ARDL12400105,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
La Disco,La Disco,M. Roca,ARDL12400111,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Kita Virtual,Kita Virtual,FederiKita,ARDL12400112,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
BUM TAM TAM,BUM TAM TAM,"SoyTiara, Coco Palmer",QZW9L2447386,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
TE DA O NO,TE DA O NO,"ManuVe, HERNAN JCP",ARDL12400110,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Tu bff Favorita,Tu bff Favorita,FederiKita,ARDL12400108,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Vertigo,Vertigo,DINA,ARDL12400107,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
más cara,más cara,SoyTiara,QZTVM2497188,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
El BM,El BM,Nicole Fernandez,ARDL12400106,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Nos Escapamos,Nos Escapamos,"Cande Gonzalez, El Joan",ARDL12400104,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Con Fe,Con Fe,"A Precio de Sangre, La Cumbia del Rey",ARDL12400102,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
PING-PONG,PING-PONG,"TOTI, Preciau",ARDL12400103,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
No Tengas Dudas,No Tengas Dudas,DINA,ARDL12400101,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
El Vaper,El Vaper,"Matias Mareco, Alan SSLK",ARDL12400098,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
La Cumbia de los Cigarrillos,La Cumbia de los Cigarrillos,Yankee Dj,ARDL12400099,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
POR LOS MIOS,POR LOS MIOS,"PACOREMIX, Alan SSLK, Dielo 98 featuring $L Baio, El Coquiito, Kevin Gabriel, Layan, MB, Martian, Betabeatz, Drmoceton, Panky, MD.Chicho",ARDL12400084,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
SI NO ESTÁS,SI NO ESTÁS,Cande Gonzalez,PYC842403156,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Guerra,Guerra,"Dj Plaga, Tirri La Roca",QZNJZ2386440,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2023.0,SI,SI
Tony,Tony,Baby Cue,QZGLM2305011,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2023.0,SI,SI
Session en el Barrio #4,Session en el Barrio #4,"GUSTY DJ, SALASTKBRON",QZNJX2292728,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Session en el Barrio #3,Session en el Barrio #3,"GUSTY DJ, Kaleb Di Masi",QZNJV2237680,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
No Tengo Time,No Tengo Time,Baby Cue,ARDL12500007,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Session en el Barrio #2,Session en el Barrio #2,"GUSTY DJ, La joaqui",QZHZ62201277,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Toma 8 Rkt,Toma 8 Rkt,"GUSTY DJ feat. SALASTKBRON, amirto baby, MAXI GEN",QZHZ62243160,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Session en el Barrio #1,Session en el Barrio #1,"GUSTY DJ, fili wey",QZHZ42284984,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Perreo Adictivo #1,Perreo Adictivo #1,"GUSTY DJ feat. PAPU DJ, ciro deejay, DJ BRAIAN STYLE",QZHZ42271732,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Toma 7,Toma 7,"GUSTY DJ, Alejo isakk, R Jota",QZGLS2286514,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
P Rreo Version Rkt,P Rreo Version Rkt,"GUSTY DJ, mambo dj",QZGLS2260666,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Murga Rkt,Murga Rkt,"GUSTY DJ, Omar Varela",QZNJV2274936,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Toma 6 Rkt,Toma 6 Rkt,GUSTY DJ,QZFZ32250960,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2022.0,SI,SI
Toma 5 (Rkt),Toma 5 (Rkt),GUSTY DJ,QZTAS2190088,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
El Numero Uno Se Fue Con 2 Rkt,El Numero Uno Se Fue Con 2 Rkt,GUSTY DJ,QZNWR2157144,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
Toma 4 Set Rkt,Toma 4 Set Rkt,GUSTY DJ,QZMEQ2104735,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
Toma 3 Set Rkt,Toma 3 Set Rkt,GUSTY DJ,QZK6L2174398,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
Toma 2 Set Rkt,Toma 2 Set Rkt,GUSTY DJ,QZHN72107641,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
Toma 1 Set Live Rkt,Toma 1 Set Live Rkt,GUSTY DJ,QZES62106028,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
Suggar Babi,Suggar Babi,Baby Cue,QZTPX2388267,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2021.0,SI,SI
Homenaje a Lisandro Meza,Homenaje a Lisandro Meza,Yankee Dj,ARDL12400127,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Mi Clan,Mi Clan,"League of Legends, LIT killah",US3DF2408987,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Te Prestaria Mis Ojos,Te Prestaria Mis Ojos,Juli Savioli,USANG2402075,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Espinas,Espinas,Juli Savioli,US3DF2497785,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
conociéndote me conocí,conociéndote me conocí,Juli Savioli,USANG2463589,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Te Escondes,Te Escondes,Juli Savioli,USANG2401082,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
La Danza De La Vieja Escuela,Querias Cumbia?,"Yankee Dj, BatataMix",ARDL12400020,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Linda Chinita,Querias Cumbia?,"Yankee Dj, Luis Ornelas",ARDL12400010,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Danza Mara (dub),Querias Cumbia?,Yankee Dj,ARDL12400014,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Segunda vuelta de Juan Valdez,Querias Cumbia?,"Yankee Dj, Onda Sabanera",ARDL12400008,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Pinche Cumbion,Querias Cumbia?,Yankee Dj,ARDL12400012,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
El Diario De Un Borracho,Querias Cumbia?,"Yankee Dj, Alberto Brito",ARDL12400017,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
La Cumbia Bacana,Querias Cumbia?,"Yankee Dj, Alberto Brito",ARDL12400022,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Te Lo Pido Por Favor,Querias Cumbia?,"Yankee Dj, Los Byby's",ARDL12400011,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
El Culpable Soy Yo,Maxi y La Champions Liga,Maxi y La Champions Liga,QM3DF2297132,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2013.0,SI,SI
La Cumbia de los Sonidos,Querias Cumbia?,Yankee Dj,ARDL12400016,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
La Cumbia de la Bocinita,Querias Cumbia?,Yankee Dj,ARDL12400024,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Bailaras,Querias Cumbia?,"Yankee Dj, ExzaCumbia",ARDL12400013,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
El Pescador,Querias Cumbia?,"Yankee Dj, ExzaCumbia",ARDL12400019,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Su Majestad 2024,Querias Cumbia?,Yankee Dj,ARDL12400009,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Etiqueta Original,Etiqueta Original,M Aquí Adonai,QM3DF2299364,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2023.0,SI,SI
Ladron de Corazones,Querias Cumbia?,"Yankee Dj, La Grilla",ARDL12400015,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
UH LA LA LA - Perreo,UH LA LA LA - Perreo,Matias Mareco,US3DF2473859,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
La Cumbia del Amor,Querias Cumbia?,Yankee Dj,ARDL12400018,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Supergirl,Supergirl,Young Las,ARDL12300042,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Levantando Tierra,Querias Cumbia?,"Yankee Dj, La Grilla",ARDL12400023,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
No Estás,No Estás,Young Las,US3DF2421191,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Mi Amiga,Querias Cumbia?,Yankee Dj,ARDL12400021,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Me Pica La Cabeza,Me Pica La Cabeza,Juli Jones,ARDL12400027,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Cumbia Lenta,Querias Cumbia?,Yankee Dj,ARDL12400025,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Lúcete,Lúcete,Juli Savioli,US3DF2418349,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
En Movimiento,En Movimiento,Juli Jones,ARDL12400028,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,SI,SI
Diabla,Diabla,"Gusty dj, Ezequiel Matthysse",ARDL12500043,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2020 - 31/12/2099,2025.0,SI,SI
La Intro,Ascenso,"GUSTY DJ, Fak",QZGLS2526356,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Divina,Ascenso,"GUSTY DJ, Picky Lejano Oeste, Mike Sn",QZGLS2526357,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Hechizado,Ascenso,"GUSTY DJ, _zaymi, Flor Gomez",QZGLS2526358,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Que Se Saque Todo,Ascenso,"GUSTY DJ, Mc Tota",QZGLS2526359,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Modelito,Ascenso,"GUSTY DJ, Alan SSLK",QZGLS2526360,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Provoca,Ascenso,"GUSTY DJ, Cande Gonzalez",QZGLS2526361,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Se Pegó y Lo Sintió,Ascenso,"GUSTY DJ, John Eric",QZGLS2526362,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Prumm,Ascenso,"GUSTY DJ, Nicky HG",QZGLS2526363,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Gárgola,Ascenso,"GUSTY DJ, DEL40SUENA0",QZGLS2526364,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Bobo,Ascenso,"GUSTY DJ, BUCCI, Markos Possi",QZGLS2526365,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Señora,Ascenso,"GUSTY DJ, CARMELO 49",QZGLS2526366,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Matemos las Ganas,Ascenso,"GUSTY DJ, HERNAN JCP",QZGLS2526367,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Mi Amor,Ascenso,"GUSTY DJ, Santy DM",QZGLS2526368,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Gustos Caros,Ascenso,"GUSTY DJ, Paly",QZGLS2526369,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Gusty Dj |Jordan23 - Session en el Barrio #9,Gusty Dj |Jordan23 - Session en el Barrio #9,GUSTY DJ feat. el jordan 23,QZNJV2395760,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
GUSTY DJ I Alejo Isakk Session en el Barrio #5,GUSTY DJ I Alejo Isakk Session en el Barrio #5,"GUSTY DJ, Alejo isakk",QZTVM2228870,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2022.0,SI,SI
Promo 22 Rkt,Promo 22 Rkt,"GUSTY DJ, DJ Pirata",QZTPX2212313,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2022.0,SI,SI
Gusty DJ |Ecko - Session en el Barrio #7,Gusty DJ |Ecko - Session en el Barrio #7,"GUSTY DJ, Ecko",QZW9M2276951,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2022.0,SI,SI
Session en el Barrio #13,Session en el Barrio #13,"GUSTY DJ, elaggume",ARDL12400048,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2024.0,SI,SI
Session en el Barrio #11,Session en el Barrio #11,"GUSTY DJ, IAMNAZAG",QZTPX2314725,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
Gusty Dj |L Gante - Session en el Barrio #8,Gusty Dj |L Gante - Session en el Barrio #8,"GUSTY DJ, L-Gante",QZ5AB2367350,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
¿Y pa la Wacha Loca? (con Salastkbron),¿Y pa la Wacha Loca? (con Salastkbron),"GUSTY DJ, La joaqui, L-gante feat. SALASTKBRON",US7VG2306659,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
El Motorcito,El Motorcito,"GUSTY DJ, LOLO OG, DobleP",QZGLS2314303,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
Novio Nuevo,Novio Nuevo,"GUSTY DJ, Peipper, Ecko feat. elaggume",ARDL12400113,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2024.0,SI,SI
Session en el Barrio #14,Session en el Barrio #14,"GUSTY DJ, Ponte Perro",ARDL12400075,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2024.0,SI,SI
Los reyes del perreo,Los reyes del perreo,"GUSTY DJ, ROZE OFICIAL",QZNJY2358745,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
El Super Junte Rkt,El Super Junte Rkt,"GUSTY DJ, SALASTKBRON, callejero fino feat. Alejo isakk, R Jota, L-Gante, LOLO OG, DobleP, LAUTY GRAM",QZW9L2346202,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2023.0,SI,SI
Gusty Dj |Tirri la Roca - Session en el Barrio #6,Gusty Dj |Tirri la Roca - Session en el Barrio #6,"GUSTY DJ, Tirri La Roca",QZW9M2213901,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2022.0,SI,SI
Heridas,Heridas,Luli Barrios,ARDL12500047,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),31/12/2021 - 31/12/2099,2025.0,SI,SI
Session en el Barrio #15,Session en el Barrio #15,"Gusty dj, Ezequiel Matthysse",ARDL12500048,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2020 - 31/12/2099,2025.0,SI,SI
Amor De Adolescentes / No Podré Olvidarme De Ti,Amor De Adolescentes / No Podré Olvidarme De Ti,"Grupo Red, Lolo OG, Nicole Fernandez",ARDL12500051,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2020 - 31/12/2099,2025.0,SI,SI
MAMI TE JURO - PERREO TH,MAMI TE JURO - PERREO TH,"FACUU DJ, mamiyosoyelth",ARDL12500053,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2020 - 31/12/2099,2025.0,SI,SI
¿QUIEN SOY?,¿QUIEN SOY?,Alexis Benjamin,ARDL12500052,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Tu Último Baile,Tu Último Baile,Candu Domínguez,ARDL12500050,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
La Despedida,La Despedida,"LIT killah, Gera MX",ARDL12500055,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Por Ese Hombre,Por Ese Hombre,"Aneley, Maxi Espindola, Valen",ARDL12500056,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
FAKROOM#1 BANDIDA,FAKROOM#1 BANDIDA,Fak,ARDL12500057,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
