album_artist,album,track_artist,track,isrc,upc,release_date,provider,sello,,
FACUU DJ|Alaan fonseca DJ,Yo Tengo Una Gata RKT,FACUU DJ|Alaan fonseca DJ,Yo Tengo Una Gata RKT,ARDL12400043,8721093448198.0,2024-07-05 00:00:00,fuga,x,,
FACUU DJ,Por La Ex No Se Llora Rkt,FACUU DJ,Por La Ex No Se Llora Rkt,ARDL12400070,8721093655428.0,2024-08-18 00:00:00,fuga|onerpm,x,,
FACUU DJ,Donde Te Pillemos Tarara Tarara Rkt,FACUU DJ,Donde Te Pillemos Tarara Tarara Rkt,ARDL12400069,8721093655398.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,Intocable Rkt,FACUU DJ,Intocable Rkt,ARDL12400068,8721093655350.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,No Soy Tu Noviecito Rkt,FACUU DJ,No Soy Tu Noviecito Rkt,ARDL12400067,8721093655305.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,Municiones Rkt,FACUU DJ|DJ Pirata,Municiones Rkt,ARDL12400064,8721093647935.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,Intro Cierre + Rkt Punky,FACUU DJ,Intro Cierre + Rkt Punky,ARDL12400063,8721093647904.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,Mas Lentito Mas Lentito RKT,FACUU DJ,Mas Lentito Mas Lentito RKT,ARDL12400062,8721093647874.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,Corte Gangster (Perreo Rkt),FACUU DJ,Corte Gangster (Perreo Rkt),ARDL12400061,8721093647843.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ|Mambo DJ,Pegate Para La Pared,FACUU DJ|Mambo DJ,Pegate Para La Pared,ARDL12400065,8721093647928.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ|Papu DJ,Diabolica Rkt,FACUU DJ|Papu DJ,Diabolica Rkt,ARDL12400066,8721093647966.0,2024-08-15 00:00:00,fuga|onerpm,x,,
FACUU DJ,Set Live Rkt #1 (Edición Tiktok),FACUU DJ,Set Live Rkt #1 (Edición Tiktok),QZW9K2433080,734284249328.0,2024-06-18 00:00:00,onerpm,x,,
FACUU DJ|Dj Gaby|Tomy Dj,Sacudime El 38 Rkt,FACUU DJ|Dj Gaby|Tomy Dj,Sacudime El 38 Rkt,QZW9K2433079,734284249311.0,2022-10-21 00:00:00,onerpm,x,,
FACUU DJ|elaggume,Toma Chukulum,FACUU DJ|elaggume,Toma Chukulum,QZW9K2430311,734284230524.0,2022-11-23 00:00:00,onerpm,x,,
FACUU DJ,Intro Yo Estoy Soltero + Me Escape Rkt,FACUU DJ,Intro Yo Estoy Soltero + Me Escape Rkt,QZW9K2430295,734284230401.0,2024-01-06 00:00:00,onerpm,x,,
FACUU DJ,Por La Ex No Se Llora RKT,FACUU DJ,Por La Ex No Se Llora RKT,QZW9K2432959,734284248376.0,2024-01-31 00:00:00,onerpm,x,,
FACUU DJ,Intro Pajaritos en el Aire + Corazón Vacio,FACUU DJ,Intro Pajaritos en el Aire + Corazón Vacio,QZW9K2430312,734284230531.0,2024-01-06 00:00:00,onerpm,x,,
LAALODJ,Ponte En 4 Que Yo Te Aviso,LAALODJ,Ponte En 4 Que Yo Te Aviso,ARDL12400035,8721093344797.0,2024-06-13 00:00:00,fuga,x,,
LAALODJ|FACUU DJ,Tengo Una Notita RKT,LAALODJ|FACUU DJ,Tengo Una Notita RKT,ARDL12400037,8721093379041.0,2024-06-21 00:00:00,fuga|onerpm,x,,
LAALODJ|Matt Sebastian,Dale Menea Mueveme Esa Cola,LAALODJ|Matt Sebastian,Dale Menea Mueveme Esa Cola,ARDL12400040,8721093442424.0,2024-07-04 00:00:00,fuga|onerpm,x,,
Matias Mareco,AHORA EN EL BAILE EMPIEZA EL PERREO,Matias Mareco,AHORA EN EL BAILE EMPIEZA EL PERREO,ARDL12400055,8721093609919.0,2024-08-08 00:00:00,fuga|onerpm,x,,
Matias Mareco,YO SE QUE TU QUIERES PERREO,Matias Mareco,YO SE QUE TU QUIERES PERREO,ARDL12400053,8721093571438.0,2024-08-01 00:00:00,fuga|onerpm,x,,
Matias Mareco,Only Nueva Escuela,Matias Mareco,Only Nueva Escuela,ARDL12400032,8721093334163.0,2024-06-13 00:00:00,fuga|onerpm,x,,
Matias Mareco,100% Perreo,Matias Mareco,100% Perreo,ARBF32000012,695845187292.0,2021-06-25 00:00:00,fuga|onerpm,x,,
Matias Mareco,Mega Bombea,Matias Mareco,Mega Bombea,ARBF32000047,695845124334.0,2021-06-21 00:00:00,fuga|onerpm,x,,
Matias Mareco|EIRON RMX,Luna al Perreo,Matias Mareco|EIRON RMX,Luna al Perreo,QZW9K2433070,734284249250.0,2024-08-08 00:00:00,onerpm,x,,
Matias Mareco|EIRON RMX|Joel RMX,La Mano en la Tet*,Matias Mareco|EIRON RMX|Joel RMX,La Mano en la Tet*,QZW9K2461984,734284469061.0,2024-10-31 00:00:00,onerpm,x,,
Matias Mareco|Joel RMX,Sobrepasando los Niveles Musicales,Matias Mareco,Sobrepasando los Niveles Musicales,ARBF32000014,695845175961.0,2021-06-24 00:00:00,fuga|onerpm,x,,
GUSTY DJ,Mega 1: Bad Bunny,GUSTY DJ,Mega 1: Bad Bunny,QZNJX2264120,718123976620.0,2022-07-21 00:00:00,onerpm,x,,
Sergio Ponce,Aqui Estoy Fiesta Reggaeton,Sergio Ponce,Aqui Estoy Fiesta Reggaeton,QZHN72529287,199079395855.0,2025-07-02 00:00:00,orchard,,,
Sergio Ponce,Atrevida Tech,Sergio Ponce,Atrevida Tech,QZHNC2571016,199343403545.0,2025-07-03 00:00:00,orchard,,,
Sergio Ponce,Bikini Tech,Sergio Ponce,Bikini Tech,QZHN72529223,199079396791.0,2025-07-05 00:00:00,orchard,,,
Sergio Ponce,Buchona,Sergio Ponce,Buchona,QZK6H2536822,199339356633.0,2025-07-06 00:00:00,orchard,,,
Sergio Ponce,Capaz Tech,Sergio Ponce,Capaz Tech,QZHN72530586,199079396425.0,2025-07-07 00:00:00,orchard,,,
Sergio Ponce,CARNET,Sergio Ponce,CARNET,QZTB82454477,198661858587.0,2025-07-08 00:00:00,orchard,,,
Sergio Ponce,Cartier,Sergio Ponce,Cartier,QZTB72573982,199518537457.0,2025-07-09 00:00:00,orchard,,,
Sergio Ponce featuring Santi Sparano,Chica Good,Sergio Ponce featuring Santi Sparano,Chica Good,QZTAZ2517813,199521937541.0,2025-07-10 00:00:00,orchard,,,
Sergio Ponce featuring Uri dj,Colocartelo Tech,Sergio Ponce featuring Uri dj,Colocartelo Tech,QZFYX2534604,199091767616.0,2025-07-11 00:00:00,orchard,,,
Sergio Ponce,DEGENERE,Sergio Ponce,DEGENERE,QZZ7L2401128,198876364354.0,2025-07-12 00:00:00,orchard,,,
Sergio Ponce featuring DJ Pucho PA,DEPORTIVO TECH,Sergio Ponce featuring DJ Pucho PA,DEPORTIVO TECH,QZZ7V2475668,199095708233.0,2025-07-13 00:00:00,orchard,,,
